var,Df,Sum Sq,Mean Sq,F value,Pr(>F)    ,
X101,1,0.5,0.47,19.168,1.20E-05,***
X102,1,2,1.99,81.177,< 2e-16,***
X103,1,0,0.04,1.633,0.201287,
X104,1,0.3,0.26,10.524,0.00118,** 
X106,1,0,0.01,0.351,0.553299,
X108,1,0.6,0.58,23.646,1.16E-06,***
X109,1,0.2,0.18,7.202,0.007287,** 
X110,1,0.2,0.23,9.183,0.002444,** 
X111,1,0.3,0.35,14.202,0.000164,***
X112,1,0.1,0.05,2.159,0.141755,
X113,1,0,0.01,0.292,0.589218,
X114,1,2.8,2.79,113.869,< 2e-16,***
X115,1,9.6,9.59,390.942,< 2e-16,***
X116,1,4.4,4.4,179.349,< 2e-16,***
X117,1,1.2,1.16,47.262,6.33E-12,***
X118,1,0,0,0.003,0.959972,
X119,1,0,0.02,0.624,0.429709,
X120,1,0.1,0.05,2.077,0.149559,
X121,1,1.7,1.72,70.243,< 2e-16,***
X122,1,0.1,0.09,3.732,0.053397,.  
X123,1,0.1,0.13,5.146,0.023304,*  
X124,1,0,0.03,1.34,0.246993,
X125,1,0,0.01,0.42,0.517155,
X126,1,0,0.01,0.245,0.620896,
X127,1,0.6,0.6,24.537,7.33E-07,***
X128,1,0.4,0.38,15.323,9.08E-05,***
X129,1,0.2,0.19,7.555,0.005988,** 
X130,1,0,0.03,1.321,0.25035,
X131,1,1,1,40.621,1.88E-10,***
X132,1,1.2,1.18,48.1,4.13E-12,***
X201,1,7.4,7.4,301.573,< 2e-16,***
X202,1,0.2,0.24,9.626,0.00192,** 
X203,1,0,0.01,0.601,0.438129,
X204,1,2.6,2.56,104.321,< 2e-16,***
X205,1,4.8,4.77,194.449,< 2e-16,***
X206,1,0.3,0.3,12.314,0.00045,***
X207,1,0.3,0.34,14.016,0.000182,***
X208,1,0.7,0.73,29.66,5.19E-08,***
X209,1,1.7,1.74,70.805,< 2e-16,***
X210,1,9.8,9.82,400.222,< 2e-16,***
X211,1,1,1.03,42.059,8.99E-11,***
X214,1,1,1.05,42.615,6.77E-11,***
X215,1,2.9,2.93,119.365,< 2e-16,***
X216,1,1.1,1.08,44.116,3.15E-11,***
X217,1,1.8,1.85,75.34,< 2e-16,***
X218,1,0.1,0.14,5.653,0.017428,*  
X219,1,3.1,3.05,124.347,< 2e-16,***
X221,1,0.6,0.6,24.602,7.09E-07,***
X222,1,0,0.03,1.378,0.240437,
X223,1,0,0.02,0.719,0.396591,
X224,1,0.1,0.1,3.988,0.045832,*  
X225,1,0.6,0.63,25.607,4.21E-07,***
X226,1,0,0,0.015,0.903491,
X227,1,1.1,1.07,43.589,4.12E-11,***
X228,1,0.4,0.37,15.053,0.000105,***
X229,1,2.1,2.05,83.6,< 2e-16,***
X231,1,2.1,2.14,87.028,< 2e-16,***
X232,1,0,0.01,0.549,0.458771,
X301,1,0,0.01,0.282,0.595294,
X302,1,0.1,0.08,3.092,0.078668,.  
X303,1,0,0,0.071,0.789277,
X304,1,0.5,0.48,19.389,1.07E-05,***
X306,1,0.3,0.29,11.692,0.000629,***
X307,1,0.1,0.06,2.322,0.127595,
X308,1,0.1,0.05,2.227,0.13565,
X309,1,0.6,0.58,23.445,1.29E-06,***
X310,1,2,2,81.463,< 2e-16,***
X312,1,1.1,1.09,44.304,2.86E-11,***
X313,1,17.5,17.52,714.002,< 2e-16,***
X314,1,3.7,3.7,150.962,< 2e-16,***
X315,1,18.7,18.73,763.334,< 2e-16,***
X317,1,0,0,0.001,0.97374,
X318,1,0.5,0.46,18.676,1.55E-05,***
X319,1,0,0.01,0.301,0.583299,
X320,1,0,0,0.023,0.879861,
X322,1,0.1,0.09,3.535,0.060107,.  
X324,1,1.1,1.14,46.647,8.66E-12,***
X325,1,1.3,1.33,54.173,1.88E-13,***
X327,1,1.1,1.11,45.142,1.87E-11,***
X328,1,1.3,1.32,53.808,2.27E-13,***
X329,1,0.3,0.28,11.594,0.000663,***
X330,1,0,0,0.079,0.778033,
X332,1,0.4,0.39,15.939,6.56E-05,***
X333,1,0,0.01,0.273,0.601597,
X334,1,0.7,0.72,29.48,5.69E-08,***
X335,1,0.1,0.09,3.641,0.056397,.  
X338,1,0.5,0.47,19.078,1.26E-05,***
X339,1,1.9,1.92,78.137,< 2e-16,***
X340,1,3.2,3.23,131.569,< 2e-16,***
X341,1,0,0.03,1.125,0.288941,
X342,1,0.1,0.08,3.395,0.065402,.  
X343,1,0,0.02,1.014,0.313878,
X401,1,0.1,0.06,2.344,0.125772,
X402,1,0,0.01,0.265,0.606733,
X403,1,0.5,0.47,18.967,1.33E-05,***
X404,1,0,0.02,0.638,0.424286,
X405,1,0,0,0.003,0.95473,
X406,1,0.2,0.2,8.126,0.004366,** 
X407,1,0.1,0.13,5.158,0.023152,*  
X408,1,0.1,0.06,2.536,0.111321,
X409,1,0.3,0.26,10.703,0.001071,** 
X410,1,0.6,0.59,24.138,9.01E-07,***
X411,1,0,0,0.174,0.676304,
X412,1,0,0.04,1.512,0.218886,
X413,1,0,0,0.108,0.74232,
X415,1,0,0.01,0.262,0.608491,
X416,1,0,0,0.122,0.727006,
X417,1,0.1,0.13,5.312,0.021189,*  
X418,1,0,0.05,1.864,0.172229,
X419,1,0.1,0.08,3.15,0.075937,.  
X420,1,0.2,0.22,9.15,0.00249,** 
X421,1,0,0,0.062,0.802798,
X422,1,0,0,0,0.992913,
X423,1,0.2,0.18,7.294,0.006922,** 
X502,1,3.5,3.5,142.586,< 2e-16,***
X503,1,0,0.05,1.886,0.169642,
X504,1,0,0,0.101,0.750608,
X505,1,0.9,0.9,36.528,1.52E-09,***
X506,1,2.6,2.62,106.644,< 2e-16,***
X507,1,0.1,0.14,5.739,0.0166,*  
X508,1,0,0.02,0.688,0.406871,
X509,1,0,0,0.177,0.673864,
X601,1,43.7,43.69,1780.723,< 2e-16,***
X602,1,1.6,1.64,66.963,2.88E-16,***
X603,1,0,0,0.033,0.855978,
X604,1,0.1,0.14,5.767,0.016332,*  
X605,1,0,0.03,1.137,0.286195,
X606,1,0.8,0.81,33.011,9.25E-09,***
X607,1,5.6,5.61,228.774,< 2e-16,***
X608,1,12,12.04,490.836,< 2e-16,***
X609,1,0,0.04,1.59,0.207316,
X610,1,0.7,0.66,26.899,2.16E-07,***
X611,1,0.1,0.07,2.909,0.088107,.  
X612,1,0.1,0.1,3.925,0.047593,*  
X613,1,3.1,3.12,127.044,< 2e-16,***
X615,1,0.2,0.16,6.522,0.01066,*  
X616,1,4.2,4.16,169.364,< 2e-16,***
X617,1,0.2,0.17,6.815,0.009045,** 
X618,1,0,0.04,1.53,0.216166,
X619,1,0,0,0.18,0.671537,
X701,1,0,0,0.142,0.706536,
X702,1,0.1,0.15,6.024,0.014117,*  
X703,1,0.6,0.59,23.86,1.04E-06,***
X704,1,0,0,0.125,0.724187,
X705,1,0.3,0.28,11.41,0.000731,***