data,W,p-value
x101,20403000,< 2.2e-16
x102,19543000,< 2.2e-16
x103,19830000,< 2.2e-16
x104,11428000,< 2.2e-16
x105,14453000,0.2499
x106,13123000,0.0001148
x107,14220000,0.7833
x108,11143000,< 2.2e-16
x109,20511000,< 2.2e-16
x110,20004000,< 2.2e-16
x111,17682000,< 2.2e-16
x112,17967000,< 2.2e-16
x113,23490000,< 2.2e-16
x114,7722700,< 2.2e-16
x115,7769300,< 2.2e-16
x116,8139700,< 2.2e-16
x117,8242000,< 2.2e-16
x118,20532000,< 2.2e-16
x119,18929000,< 2.2e-16
x120,20575000,< 2.2e-16
x121,19670000,< 2.2e-16
x122,21917000,< 2.2e-16
x123,20249000,< 2.2e-16
x124,20618000,< 2.2e-16
x125,20759000,< 2.2e-16
x126,23563000,< 2.2e-16
x127,9538000,< 2.2e-16
x128,23095000,< 2.2e-16
x129,20192000,< 2.2e-16
x130,19032000,< 2.2e-16
x131,24136000,< 2.2e-16
x132,24131000,< 2.2e-16
x201,21634000,< 2.2e-16
x202,15017000,0.001063
x203,9709100,< 2.2e-16
x204,8617800,< 2.2e-16
x205,8111000,< 2.2e-16
x206,4027500,< 2.2e-16
x207,23449000,< 2.2e-16
x208,20822000,< 2.2e-16
x209,22675000,< 2.2e-16
x210,23123000,< 2.2e-16
x211,22623000,< 2.2e-16
x212,23230000,< 2.2e-16
x213,22675000,< 2.2e-16
x214,25045000,< 2.2e-16
x215,23273000,< 2.2e-16
x216,5982700,< 2.2e-16
x217,6770300,< 2.2e-16
x218,13155000,0.0001878
x219,23815000,< 2.2e-16
x220,13622000,0.04807
x221,18634000,< 2.2e-16
x222,15078000,0.0004614
x223,20641000,< 2.2e-16
x224,16323000,2.69E-16
x225,11879000,< 2.2e-16
x226,20590000,< 2.2e-16
x227,10477000,< 2.2e-16
x228,18203000,< 2.2e-16
x229,13041000,3.12E-05
x230,14582000,0.1019
x231,20299000,< 2.2e-16
x232,16471000,< 2.2e-16
x301,15120000,0.0002525
x302,24111000,< 2.2e-16
x303,21185000,< 2.2e-16
x304,23815000,< 2.2e-16
x305,14781000,0.01711
x306,15942000,1.45E-11
x307,22447000,< 2.2e-16
x308,21933000,< 2.2e-16
x309,21637000,< 2.2e-16
x310,19128000,< 2.2e-16
x311,9167400,< 2.2e-16
x312,9324500,< 2.2e-16
x313,23230000,< 2.2e-16
x314,23046000,< 2.2e-16
x315,24955000,< 2.2e-16
x316,23123000,< 2.2e-16
x317,23026000,< 2.2e-16
x318,23011000,< 2.2e-16
x319,16603000,< 2.2e-16
x320,21507000,< 2.2e-16
x321,6788300,< 2.2e-16
x322,15191000,8.64E-05
x323,22623000,< 2.2e-16
x324,21579000,< 2.2e-16
x325,23151000,< 2.2e-16
x326,14771000,0.01894
x327,23269000,< 2.2e-16
x328,20435000,< 2.2e-16
x329,18852000,< 2.2e-16
x330,9015400,< 2.2e-16
x331,20432000,< 2.2e-16
x332,14861000,0.007256
x333,9003700,< 2.2e-16
x334,8736300,< 2.2e-16
x335,7180200,< 2.2e-16
x336,4881400,< 2.2e-16
x337,22321000,< 2.2e-16
x338,21117000,< 2.2e-16
x339,23750000,< 2.2e-16
x340,20883000,< 2.2e-16
x341,21863000,< 2.2e-16
x342,6896000,< 2.2e-16
x343,22113000,< 2.2e-16
x401,17935000,< 2.2e-16
x402,18008000,< 2.2e-16
x403,18220000,< 2.2e-16
x404,18098000,< 2.2e-16
x405,15398000,2.53E-06
x406,19615000,< 2.2e-16
x407,19199000,< 2.2e-16
x408,21584000,< 2.2e-16
x409,21368000,< 2.2e-16
x410,18867000,< 2.2e-16
x411,18863000,< 2.2e-16
x412,18359000,< 2.2e-16
x413,16140000,6.45E-14
x414,18338000,< 2.2e-16
x415,16146000,5.46E-14
x416,18141000,< 2.2e-16
x417,19868000,< 2.2e-16
x418,18300000,< 2.2e-16
x419,18703000,< 2.2e-16
x420,18286000,< 2.2e-16
x421,18630000,< 2.2e-16
x422,22121000,< 2.2e-16
x423,19179000,< 2.2e-16
x501,13966000,0.4949
x502,12398000,4.62E-11
x503,13393000,0.004545
x504,15191000,8.62E-05
x505,17408000,< 2.2e-16
x506,17313000,< 2.2e-16
x507,19189000,< 2.2e-16
x508,13408000,0.005378
x509,18131000,< 2.2e-16
x601,24515000,< 2.2e-16
x602,24566000,< 2.2e-16
x603,21292000,< 2.2e-16
x604,21282000,< 2.2e-16
x605,16186000,1.71E-14
x606,18592000,< 2.2e-16
x607,24962000,< 2.2e-16
x608,24514000,< 2.2e-16
x609,24009000,< 2.2e-16
x610,20041000,< 2.2e-16
x611,24938000,< 2.2e-16
x612,17374000,< 2.2e-16
x613,24075000,< 2.2e-16
x614,14769000,0.01938
x615,16561000,< 2.2e-16
x616,22425000,< 2.2e-16
x617,17991000,< 2.2e-16
x618,18084000,< 2.2e-16
x619,15166000,0.0001261
x701,15081000,0.0004448
x702,16510000,< 2.2e-16
x703,14321000,0.5129
x704,17034000,< 2.2e-16
x705,16256000,2.06E-15